y_pb,n_sp
-0.003696682,52.03391251
-0.003551954,47.04203275
0.008495133,67.95552874
0.008495133,61.90465164
0.010929197,59.99680258
-0.00497856,56.89810649
-0.005063607,56.04961321
0.010366618,54.71450004
0.000789889,49.91747138
-0.006244284,48.90844692
-0.002359476,45.69314575
0.003791469,42.89911417
-0.007424961,53.12378244
1.006812198,71.85339617
1.002053712,66.03583146
1.000515145,64.84791167
1.002053712,61.01781335
1.008114319,60.08945799
1.007842837,57.76687165
1.002053712,54.85860616
1.006812198,51.89019184
1.011167062,49.92078822
1.002053712,44.85923267
1.003755797,68.88083143
1.002053712,56.138014
2.001915482,37.83501118
2.000315956,73.44819747
1.995994796,72.63713911
2.00501962,70.83711089
2.007664651,68.82740665
2.005414333,56.89617434
2.003432429,66.80609297
2.008530806,52.86811024
1.997314376,47.87237533
3.00638682,37.8267063
3.002656901,67.84385411
2.998578199,62.89287093
3.003336684,57.86559654
2.998578199,55.93727444
3.008475049,46.88580747
3.009794629,52.86339813
4.030489731,64.85304065
4.99855905,90.88926668
6.006678156,84.88083592
6.001579779,75.73695866
7.003298387,68.77859302
7.002991388,57.83142127
8.009320695,55.79635553
8.006319115,76.80334828
8.00016817,71.68812971
9.000260199,84.7963216
9.018799368,62.82024857
9.021800948,52.69986467
10.00370976,65.97384379
10.03739767,64.71790742
10.01546209,59.84110482
11.00208429,65.91932309
11.01124515,64.81484133
11.00110585,58.75234805
11.99936809,68.73561352
12.00848772,59.77403762
12.00248456,55.78453577
13.00573029,60.72665988
13.00708986,58.73484451
13.00584518,69.75362194
13.99889415,59.71362369
14.00235052,66.76603834
15.00225478,59.73365577
16.00963665,60.81025166
17.00319523,61.71831344
0,50.96456693
0,58.11023622
1.009478673,58.99606299
2.004739336,74.23228346