exp,n_spp
0.964788732,25.95870206
1.985915493,32.97935103
3.024647887,30
4.221830986,23.98230088
5.014084507,29.02654867
6.052816901,31.94690265
6.968309859,29.97050147
8.024647887,25.98820059
9.098591549,31.00294985
9.943661972,36.99115044
11.01760563,34.98525074
12.03873239,32.00589971
12.91901408,30.85545723
13.99295775,31.82890855
15.06690141,32.89085546
16.07042254,25.92920354
16.98591549,25.92920354
17.86619718,24.95575221
19.02816901,24.92625369
20.13732394,17.93510324
21.0528169,22.92035398
21.96830986,18.90855457
23.00704225,23.45132743
24.09859155,23.42182891
25.04929577,15.89970501