vel_m_s,num_spp,substrata
0.052005013,12.88280582,organic
0.102130326,9.777587682,organic
0.109022556,9.98289136,organic
0.098997494,11.83062447,organic
0.098370927,12.90846878,organic
0.069548872,13.83233533,organic
0.110275689,13.80667237,organic
0.058897243,14.9358426,organic
0.070802005,14.98716852,organic
0.098997494,14.91017964,organic
0.129699248,14.96150556,organic
0.149749373,15.98802395,organic
0.076441103,16.06501283,organic
0.090225564,16.01368691,organic
0.088345865,16.9118905,organic
0.100877193,16.9118905,organic
0.049498747,17.06586826,organic
0.078947368,17.96407186,organic
0.056390977,18.01539778,organic
0.036340852,18.0667237,organic
0.088972431,19.01625321,organic
0.04887218,20.88964927,organic
0.071428571,23.96920445,organic
0.088345865,21.96749358,organic
0.121553885,24.09751925,organic
0.119047619,22.96834902,organic
0.132205514,21.96749358,organic
0.110902256,21.01796407,organic
0.102756892,20.06843456,organic
0.126566416,19.86313088,organic
0.152255639,19.04191617,organic
0.191729323,19.9144568,organic
0.198621554,24.893071,organic
0.229323308,25.99657827,organic
0.280075188,23.12232678,organic
0.262531328,22.09580838,organic
0.288220551,18.93926433,organic
0.298245614,17.91274594,organic
0.328320802,17.91274594,organic
0.30075188,14.91017964,inorganic
0.401002506,30.10265184,inorganic
0.486842105,17.06586826,inorganic
0.486215539,17.09153122,inorganic
0.721177945,14.9358426,inorganic
0.852130326,23.12232678,inorganic
1.055137845,13.11377246,inorganic
1.145989975,10.82976903,inorganic
1.043233083,6.852010265,inorganic
1.234962406,9.98289136,inorganic